,ENODEB_NAME,CELL_NAME,# of ERAB<%96,# of CSFB<%96,# of RRC<%96,# of E2E<%96,# of ERAB<%98,# of CSFB<%98,# of RRC<%98,# of E2E<%98,DCR_VOLTE_V5R,TOTAL96,TOTAL98,TOTAL
38,SR34_K1913_KRISTALSEHIR2_AVEA,LK191345O346222614,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
39,SR34_00012_GNSINTERSTAR,L0001225O346000782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,SR34_00238_MSINAN_SAHIL,L0023825O346015012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,SR34_00238_MSINAN_SAHIL,L0023835O346015053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,SR34_00A34_MERTER_SAVAS_JP,L00A3435O346082913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,SR34_00A89_ZTB_BULVAR_CAD,L00A8925O346124632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,SR34_00A89_ZTB_BULVAR_CAD,L00A8935O346124683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,SR34_01364_TasdelenMerkez,L0136415O345722331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,SR34_01483_KOZBAYARCDDIREK,L0148315O345728311,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0
47,SR34_01565_BOSTANCIKAVSAK,L0156515O345733271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,SR34_01565_BOSTANCIKAVSAK,L0156525O345733272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,SR34_A1190_CAKMAK_J,LA119035O345747513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,SR34_A1190_CAKMAK_J,LA119015O345747551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,SR34_A1420_RUZGARLIBAHCE,LA142015O345759671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,SR34_B1204_CAMLIBAHCE,LB120425O345783212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,SR34_B1204_CAMLIBAHCE,LB120415O345783231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
